Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-03,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-04,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-05,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-06,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-09,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-10,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-11,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-12,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-13,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-16,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-17,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-18,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-19,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-20,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-23,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-24,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-25,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-26,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-27,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-30,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-07-31,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-01,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-02,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-03,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-06,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-07,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-08,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-09,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-10,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-13,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-14,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-16,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-17,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-21,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-22,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-23,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-24,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-27,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-28,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-29,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-30,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-08-31,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-03,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-04,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-05,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-06,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-07,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-10,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-11,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-12,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-13,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-14,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-17,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-18,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-20,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-21,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-24,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-25,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-26,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-27,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-09-28,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-01,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-03,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-04,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-05,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-08,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-09,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-10,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-11,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-12,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-15,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-16,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-17,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-18,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-19,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-22,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-23,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-25,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-26,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-29,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
2012-10-30,1772.0,676.0,676.0,676.0,676.0,1000000.0,0.0
