Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-03,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-04,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-05,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-06,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-09,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-10,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-11,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-12,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-13,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-16,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-17,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-18,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-19,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-20,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-23,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-24,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-25,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-26,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-27,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-30,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-07-31,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-01,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-02,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-03,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-06,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-07,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-08,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-09,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-10,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-13,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-14,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-16,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-17,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-21,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-22,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-23,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-24,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-27,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-28,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-29,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-30,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-08-31,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-03,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-04,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-05,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-06,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-07,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-10,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-11,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-12,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-13,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-14,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-17,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-18,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-20,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-21,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-24,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-25,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-26,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-27,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-09-28,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-01,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-03,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-04,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-05,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-08,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-09,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-10,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-11,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-12,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-15,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-16,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-17,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-18,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-19,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-22,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-23,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-25,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-26,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-29,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-30,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-10-31,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-01,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-02,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-05,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-06,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-07,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-08,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-09,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-12,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-13,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-15,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-16,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-19,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-20,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-21,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-22,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-23,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-26,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-27,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-29,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-11-30,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-03,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-04,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-05,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-06,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-07,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-10,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-11,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-12,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-13,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-14,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-17,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-18,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-19,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-20,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-21,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-24,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-26,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-27,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-28,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2012-12-31,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-01,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-02,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-03,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-04,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-07,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-08,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-09,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-10,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-11,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-14,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-15,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-16,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-17,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-18,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-21,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-22,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-23,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-24,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-25,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-28,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-29,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-30,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-01-31,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-01,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-04,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-05,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-06,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-07,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-08,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-11,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-12,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
2013-02-13,1471.0,503.1,503.1,503.1,503.1,1000000.0,0.0
