Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-03,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-04,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-05,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-06,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-09,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-10,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-11,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-12,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-13,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-16,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-17,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-18,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-19,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-20,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-23,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-24,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-25,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-26,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-27,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-30,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-07-31,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-01,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-02,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-03,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-06,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-07,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-08,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-09,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-10,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-13,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-14,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-16,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-17,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-21,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-22,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-23,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-24,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-27,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-28,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-29,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-30,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-08-31,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-03,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-04,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-05,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-06,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-07,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-10,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-11,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-12,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-13,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
2012-09-14,1823.0,601.5,601.5,601.5,601.5,1000000.0,0.0
